Community,Size,Organization,Direct Ratio,P2p Ratio,Influence,Rich Club,Betweenness
0,14153,RIPE,7.0%,86.0%,261.74,0.0,0.15
1,2348,RIPE,4.0%,91.0%,48.82,1.0,0.01
2,16440,LACNIC,9.0%,72.0%,250.11,1.0,0.05
3,15,RIPE,5.0%,5.0%,0.31,0.53,0.0
4,10503,ARIN,66.0%,23.0%,136.02,1.0,0.07
5,493,LACNIC,5.0%,6.0%,8.08,1.0,0.0
6,8564,APNIC,7.0%,74.0%,144.59,1.0,0.01
7,5452,RIPE,36.0%,60.0%,88.34,1.0,0.08
8,189,ARIN,4.0%,13.0%,1.88,0.68,0.0
9,6,RIPE,20.0%,0.0%,0.19,0.42,0.0
10,8,ARIN,9.0%,0.0%,0.24,0.3,0.0
11,38,RIPE,11.0%,7.0%,1.44,0.88,0.0
12,9,RIPE,5.0%,5.0%,0.34,0.53,0.0
13,2,RIPE,0.0%,0.0%,0.03,0.17,0.0
14,3,AFRINIC,0.0%,0.0%,0.1,0.3,0.0
15,385,RIPE,0.0%,25.0%,5.37,0.68,0.0
16,3,APNIC,0.0%,0.0%,0.05,0.17,0.0
17,2,RIPE,0.0%,0.0%,0.03,0.17,0.0
18,4,APNIC,14.0%,14.0%,0.1,0.42,0.0
19,4,APNIC,0.0%,0.0%,0.07,0.17,0.0
20,5,APNIC,0.0%,0.0%,0.12,0.17,0.0
21,2,APNIC,0.0%,0.0%,0.03,0.17,0.0
22,3,RIPE,0.0%,0.0%,0.05,0.3,0.0
23,171,RIPE,3.0%,8.0%,4.33,0.95,0.0
