Community,Size,Organization,Direct Ratio,P2p Ratio,Influence,Rich Club,Betweenness
0,66,ARIN,13.0%,8.0%,1.34,0.66,0.0
1,6,RIPE,12.0%,12.0%,0.1,0.19,0.0
2,7802,APNIC,9.0%,65.0%,137.07,1.0,0.04
3,4,APNIC,0.0%,0.0%,0.07,0.1,0.0
4,14,RIPE,5.0%,5.0%,0.27,0.19,0.0
5,24,RIPE,4.0%,0.0%,0.52,0.28,0.0
6,63,RIPE,9.0%,20.0%,1.31,0.66,0.0
7,238,RIPE,6.0%,11.0%,5.79,0.98,0.0
8,16936,ARIN,59.0%,20.0%,172.27,1.0,0.16
9,35,RIPE,6.0%,6.0%,0.84,0.48,0.0
10,128,RIPE,11.0%,12.0%,1.91,0.91,0.0
11,19575,RIPE,5.0%,88.0%,305.87,0.0,0.28
12,9,RIPE,24.0%,6.0%,0.19,0.28,0.0
13,20360,LACNIC,9.0%,68.0%,282.87,1.0,0.07
14,55,RIPE,7.0%,22.0%,1.21,0.66,0.0
15,3,RIPE,0.0%,0.0%,0.06,0.1,0.0
16,15,APNIC,3.0%,3.0%,0.33,0.61,0.0
17,192,ARIN,0.0%,15.0%,1.59,0.15,0.0
18,7,RIPE,0.0%,0.0%,0.14,0.1,0.0
19,4,RIPE,0.0%,0.0%,0.1,0.1,0.0
20,3405,RIPE,4.0%,90.0%,57.16,1.0,0.03
21,3,ARIN,0.0%,0.0%,0.07,0.28,0.0
22,4,RIPE,0.0%,25.0%,0.05,0.1,0.0
23,8,ARIN,9.0%,0.0%,0.25,0.1,0.0
24,6,APNIC,0.0%,13.0%,0.13,0.15,0.0
25,22,RIPE,9.0%,43.0%,0.42,0.48,0.0
26,3,APNIC,20.0%,50.0%,0.0,0.28,0.0
27,22,RIPE,3.0%,0.0%,0.23,0.36,0.0
28,4,RIPE,0.0%,0.0%,0.07,0.1,0.0
29,4,RIPE,36.0%,0.0%,0.07,0.19,0.0
30,5,RIPE,10.0%,40.0%,0.03,0.19,0.0
31,510,RIPE,0.0%,24.0%,6.48,0.45,0.0
32,6940,RIPE,49.0%,56.0%,92.24,1.0,0.03
33,134,APNIC,1.0%,2.0%,2.92,0.66,0.0
34,5,ARIN,14.0%,0.0%,0.0,0.15,0.0
35,3,ARIN,0.0%,0.0%,0.06,0.1,0.0
36,19,AFRINIC,0.0%,0.0%,0.46,0.1,0.0
37,27,RIPE,10.0%,4.0%,0.53,0.36,0.0
38,33,AFRINIC,7.0%,29.0%,0.75,0.48,0.0
39,2,RIPE,0.0%,0.0%,0.0,0.15,0.0
40,45,RIPE,0.0%,0.0%,0.4,0.19,0.0
41,25,APNIC,7.0%,2.0%,0.39,0.36,0.0
42,24,RIPE,0.0%,0.0%,0.43,0.19,0.0
43,2,RIPE,25.0%,50.0%,0.0,0.19,0.0
44,3,RIPE,0.0%,0.0%,0.0,0.1,0.0
